display_name,training_phrase
credit_card.charges,I've been charged $20 and I don't know why
credit_card.charges,I've been charged by Amazon for something on 8th Dec
credit_card.charges,I've been charged for something I didn't buy
credit_card.charges,I've been overcharged
credit_card.charges,I've been wrongly charged $35
credit_card.charges,Query a charge for $10 that appeared yesterday
credit_card.charges,There is a charge for $150 on my account that I didn't spend
credit_card.charges,There is a charge yesterday that I don't recognise
credit_card.charges,There is a payment I don't recognise
credit_card.charges,There is a transaction on my statement that I didn't make
credit_card.charges,There's a charge on my statement dated 11th November that I don't recognize
credit_card.charges,There's a fraudulent charge for $25 on my account
credit_card.charges,There's a transaction for $30 yesterday and I didn't make it
credit_card.charges,Walmart has taken $200 from account without my knowledge
credit_card.charges,What is the $150 transaction showing on my statement for yesterday
credit_card.charges,What's the charge for $20
credit_card.charges,What's this transaction on my account?
credit_card.charges,fraudulent charge on my card
credit_card.check_balance,Account balance
credit_card.check_balance,Balance
credit_card.check_balance,Balance for 7890
credit_card.check_balance,Balance for card ending in 1234
credit_card.check_balance,Balance on my credit card
credit_card.check_balance,Balance please
credit_card.check_balance,Can you tell me my balance?
credit_card.check_balance,Card balance
credit_card.check_balance,Credit card balance amount
credit_card.check_balance,Credit card balance for card ending 3972
credit_card.check_balance,Credit card ending 1846 balance
credit_card.check_balance,How much am I owe on my account
credit_card.check_balance,How much do I owe on 4657?
credit_card.check_balance,How much do I owe?
credit_card.check_balance,How much is on my card?
credit_card.check_balance,What's my card balance?
credit_card.check_balance,What's my current balance?
credit_card.check_balance,What's my total balance
credit_card.check_balance,What's the balance for the account ending in 4356?
credit_card.check_balance,What's the balance on my account
credit_card.check_balance,What's the balance on my card?
credit_card.check_balance,What's the balance on my credit card
credit_card.check_balance,What's the statement balance
credit_card.check_balance,credit card balance for card ending 3951
credit_card.check_balance,credit card balance please
credit_card.compare,Compare credit card features
credit_card.compare,Compare platinum and gold cards
credit_card.compare,How many bonus points do I get signing on with gold and bronze?
credit_card.compare,I can't find information about the differences between gold and bronze
credit_card.compare,I want to compare features between credit cards
credit_card.compare,"I'm trying to find the annual fees between gold and bronze, but can't seem to find it"
credit_card.compare,What interest rates apply to  gold and bronze?
credit_card.compare,What is the difference in cashback between gold and bronze?
credit_card.compare,can i compare bronze and platinum credit cards
credit_card.compare,compare cards with cashback
credit_card.compare,compare cashback cards
credit_card.compare,compare credit cards
credit_card.compare,compare features of bronze and silver cards
credit_card.compare,compare interest rates for your credit cards
credit_card.compare,compare the cashback rate for Gold Card and Silver Card
credit_card.compare,compare the cashbackrate for Gold Card and Silver Card
credit_card.compare,credit card compare
credit_card.compare,how do the cash back rates compare between gold and bronze
credit_card.compare,i want to compare credit cards
credit_card.compare,i want to compare interest rates on your credit cards
credit_card.compare,i want to find the cards with the highest cashback
credit_card.compare,is there a difference between the fees for gold and silver
credit_card.compare,what are the cashback rates for gold and silver credit cards
credit_card.compare,what are the differences between gold and silver cards
credit_card.compare,what are the fees for bronze and silver
credit_card.compare,what cards have the best cashback?
credit_card.compare,what's the best interest rates on your credit cards?
credit_card.due_date,Due date
credit_card.due_date,How long have I got until the next payment
credit_card.due_date,How long until the payment due date
credit_card.due_date,How many days until the payment is due?
credit_card.due_date,I need to know when the payment is due
credit_card.due_date,I need to know when the payment is due by
credit_card.due_date,Need to know the payment due date
credit_card.due_date,What date does the payment need to be made
credit_card.due_date,What date is the payment due?
credit_card.due_date,What is the payment due date
credit_card.due_date,What's the due date?
credit_card.due_date,When do I need to make a payment by?
credit_card.due_date,When do I need to pay by?
credit_card.due_date,When does the payment need to be made
credit_card.due_date,When is it due?
credit_card.due_date,When is my balance due?
credit_card.due_date,When is my payment due?
credit_card.due_date,When is the due date for payment?
credit_card.due_date,When is the last date for payment
credit_card.due_date,payment due date
credit_card.due_date,what date is payment due
credit_card.due_date,what date is the balance due
credit_card.due_date,when do I need to make the payment by
credit_card.due_date,when is the latest I can make the payment
credit_card.due_date,when is the payment date
credit_card.further_comparisons,And the interest rates?
credit_card.further_comparisons,Any cashback?
credit_card.further_comparisons,Are there any bonus points on those cards?
credit_card.further_comparisons,Are there any fees?
credit_card.further_comparisons,Can you tell me about the cashback?
credit_card.further_comparisons,How many bonus points do I get?
credit_card.further_comparisons,I want to compare fees as well
credit_card.further_comparisons,I'm trying to find the annual fees
credit_card.further_comparisons,Now the interest rates
credit_card.further_comparisons,What about cashback?
credit_card.further_comparisons,What about the interest rates?
credit_card.further_comparisons,What are the rewards on offer for those cards
credit_card.further_comparisons,What interest rates apply
credit_card.further_comparisons,What is the difference in the cashback
credit_card.further_comparisons,What is the lowest interest rate?
credit_card.further_comparisons,all of them
credit_card.further_comparisons,are the fees different for each card?
credit_card.further_comparisons,are there any cards that offer rewards?
credit_card.further_comparisons,bonus points?
credit_card.further_comparisons,can I compare cash back rates now
credit_card.further_comparisons,do any of the cards charge a subscription fee
credit_card.further_comparisons,what cash back rates are available?
credit_card.further_comparisons,"ya, tell me about bonus points"
credit_card.further_comparisons,"yeah, I want to know about interest rates"
credit_card.further_comparisons,yes are there any fees?
credit_card.further_comparisons,"yes, what about annual fees?"
credit_card.last_statement_balance,Credit card statement balance
credit_card.last_statement_balance,I want my statement balance please
credit_card.last_statement_balance,I want to know my credit card statement balance amount
credit_card.last_statement_balance,What was my statement balance amount
credit_card.last_statement_balance,and how about my last statement
credit_card.last_statement_balance,balance from my last statement
credit_card.last_statement_balance,how about my last statement
credit_card.last_statement_balance,how much do I owe from last month
credit_card.last_statement_balance,how much do I owe from my last bill
credit_card.last_statement_balance,how much do I owe from my last statement
credit_card.last_statement_balance,last bill
credit_card.last_statement_balance,last month's bill
credit_card.last_statement_balance,last month's statement balance
credit_card.last_statement_balance,last statement
credit_card.last_statement_balance,last statement balance
credit_card.last_statement_balance,remaining balance from my last bill
credit_card.last_statement_balance,statement balance for my credit card
credit_card.last_statement_balance,what do I owe from the last statement
credit_card.last_statement_balance,what was my bill last month
credit_card.last_statement_balance,what was my last bill
credit_card.last_statement_balance,what was my last statement
credit_card.last_statement_balance,what was the last statement total
credit_card.last_statement_balance,what was the statement balance on my last bill
credit_card.last_statement_balance,what's last month's statement
credit_card.last_statement_balance,what's the balance from my last statement
credit_card.late_fee,Charges for late payments
credit_card.late_fee,Fees for missed or late payments
credit_card.late_fee,How much will I be charged for missing a payment?
credit_card.late_fee,If I miss a payment is there a fee
credit_card.late_fee,If I miss the due date will I be charged
credit_card.late_fee,If I miss the payment due date is there a fee?
credit_card.late_fee,Is there a charge if I miss a payment
credit_card.late_fee,Is there a charge if I pay after the due date
credit_card.late_fee,Is there a fee if I make a late payment
credit_card.late_fee,Missed payment fees
credit_card.late_fee,What's the charge for missing a payment?
credit_card.late_fee,What's the fee for a missed payment
credit_card.late_fee,do you have a late fee
credit_card.late_fee,how about a late fee
credit_card.late_fee,how much is the late fee
credit_card.late_fee,is there a late fee
credit_card.late_fee,late payment fee
credit_card.late_fee,what if I can't pay on time
credit_card.late_fee,what will be my fee for paying late
credit_card.late_fee,what's the fee if I pay late
credit_card.late_fee,what's the late fee
credit_card.late_fee,will I be charged If I miss a payment
credit_card.late_fee,will I be charged a late fee
credit_card.late_fee,will I owe a late fee if I miss the payment
credit_card.late_fee,will you charge me a late fee
credit_card.lock_card,Block my card
credit_card.lock_card,Can you freeze my card
credit_card.lock_card,Can you lock my credit card
credit_card.lock_card,Can you pause my credit card
credit_card.lock_card,Can you put a pause on my card
credit_card.lock_card,Freeze my card
credit_card.lock_card,Hold on my card
credit_card.lock_card,I can't find my card can you put a hold on it
credit_card.lock_card,I need a freeze on my card
credit_card.lock_card,I need a temporary hold on my card
credit_card.lock_card,I need to lock my card
credit_card.lock_card,I need to put a hold on my card
credit_card.lock_card,I need to temporarily lock my card
credit_card.lock_card,I need you to pause my card
credit_card.lock_card,Lock my card
credit_card.lock_card,Need to lock my card
credit_card.lock_card,Pause my credit card
credit_card.lock_card,Put a block on my credit card
credit_card.lock_card,Put a hold on my card
credit_card.lock_card,Temporarily freeze card
credit_card.lock_card,Temporarily hold card
credit_card.lock_card,Temporarily lock card
credit_card.lock_card,Temporary block for my credit card
credit_card.lock_card,freeze my card
credit_card.lock_card,put a freeze on my credit card
credit_card.lost_card,Card stolen
credit_card.lost_card,I can't find my credit card
credit_card.lost_card,I don't know where my card is
credit_card.lost_card,I haven't been able to find my card
credit_card.lost_card,I left my card in a taxi
credit_card.lost_card,I lost my card
credit_card.lost_card,I need to cancel my card
credit_card.lost_card,I think I left my card at checkout
credit_card.lost_card,I think I left my card at the store
credit_card.lost_card,I think I lost my card
credit_card.lost_card,I think my card was stolen
credit_card.lost_card,I want to report a lost card
credit_card.lost_card,I want to report my card as missing
credit_card.lost_card,I'm missing my card
credit_card.lost_card,I've lost my credit card
credit_card.lost_card,I've misplaced my card
credit_card.lost_card,Left my card at a restaurant
credit_card.lost_card,Lost card
credit_card.lost_card,My card is missing
credit_card.lost_card,My card was stolen
credit_card.lost_card,My credit card is lost
credit_card.lost_card,Report a lost credit card
credit_card.lost_card,Report a stolen card
credit_card.lost_card,lost or stolen
credit_card.lost_card,lost or stolen card
credit_card.lost_card,my card needs cancelling
credit_card.lost_card,please cancel my card
credit_card.lost_card,stolen card
credit_card.lost_card,stop my card
credit_card.lost_card,stop payments from my card please I don't have it anymore
credit_card.make_a_payment,Card payment
credit_card.make_a_payment,Credit card payment
credit_card.make_a_payment,I want to make a payment for the card ending in 4398
credit_card.make_a_payment,I want to make a payment on my credit card ending 2054
credit_card.make_a_payment,I want to pay my card
credit_card.make_a_payment,I want to pay my credit card bill
credit_card.make_a_payment,I want to pay off my credit card balance
credit_card.make_a_payment,I want to pay the balance
credit_card.make_a_payment,I would like to make a payment
credit_card.make_a_payment,I would like to pay off 3948
credit_card.make_a_payment,I'd like to make a payment
credit_card.make_a_payment,I'd like to pay my credit card bill
credit_card.make_a_payment,Make a payment
credit_card.make_a_payment,Make a payment towards my credit card balance
credit_card.make_a_payment,Make payment off my card
credit_card.make_a_payment,Pay my balance in full
credit_card.make_a_payment,Pay my credit card balance
credit_card.make_a_payment,Pay off my credit card balance for card 7420
credit_card.make_a_payment,Pay the balance
credit_card.make_a_payment,Payment
credit_card.make_a_payment,Payment for card 9453
credit_card.make_a_payment,Payment to card ending 6295
credit_card.make_a_payment,"credit card ending 1065, make a payment"
credit_card.make_a_payment,make a card payment please
credit_card.make_a_payment,payment on my credit card
credit_card.minimum_payment,Can I make the minimum payment
credit_card.minimum_payment,How much do I need to pay?
credit_card.minimum_payment,How much is the minimum payment
credit_card.minimum_payment,I can only pay the minimum
credit_card.minimum_payment,I can't pay all of it
credit_card.minimum_payment,"I can't pay all of it, can I pay a part of it?"
credit_card.minimum_payment,I can't pay the whole thing right now
credit_card.minimum_payment,I need to know the minimum payment amount
credit_card.minimum_payment,Is there a minimum?
credit_card.minimum_payment,Minimum
credit_card.minimum_payment,What is the least payment I can make
credit_card.minimum_payment,What is the least payment I'm allowed to make
credit_card.minimum_payment,What is the lowest amount I can pay
credit_card.minimum_payment,What is the minimum I need to pay
credit_card.minimum_payment,What the minimum?
credit_card.minimum_payment,What's my minimum payment due?
credit_card.minimum_payment,What's the least I can pay?
credit_card.minimum_payment,What's the lowest payment I can make
credit_card.minimum_payment,What's the minimum I can pay?
credit_card.minimum_payment,What's the minimum amount I can pay
credit_card.minimum_payment,What's the minimum payment amount
credit_card.minimum_payment,minimum due for last month
credit_card.minimum_payment,minimum for last month
credit_card.minimum_payment,minimum payment due
credit_card.minimum_payment,what amount is due
credit_card.minimum_payment,what's my minimum payment for last month
credit_card.recurring_transactions,Do I need to do anything about my monthly subscriptions
credit_card.recurring_transactions,Does this affect my recurring payments
credit_card.recurring_transactions,"I have annual payments set up, will they be affected"
credit_card.recurring_transactions,I have monthly bills coming off this card
credit_card.recurring_transactions,"I have monthly payments set up, will they still be paid"
credit_card.recurring_transactions,I have monthly subscriptions on this card
credit_card.recurring_transactions,"I have monthly subscriptions, will they need changed"
credit_card.recurring_transactions,"I have monthly subscriptions, will those be paid"
credit_card.recurring_transactions,I have regular outgoings from that card
credit_card.recurring_transactions,I pay for streaming with that card
credit_card.recurring_transactions,What about my annual subscriptions
credit_card.recurring_transactions,What happens to my existing recurring payments
credit_card.recurring_transactions,Will my recurring payments still go through
credit_card.recurring_transactions,Will my regular payments be affected
credit_card.recurring_transactions,Will this affect my subscription to Netflix
credit_card.recurring_transactions,what about my gym membership
credit_card.recurring_transactions,what about my monthly bills
credit_card.recurring_transactions,what about my regular payments
credit_card.recurring_transactions,what about my subscription
credit_card.recurring_transactions,will my cell phone bill still be paid
credit_card.recurring_transactions,will my gym payment still go through
credit_card.recurring_transactions,will my monthly transactions still be paid
credit_card.recurring_transactions,will my netflix still be paid
credit_card.recurring_transactions,will my recurring payments still happen
credit_card.recurring_transactions,will this affect my regular payments
credit_card.replace_card,Can I get a card replacement
credit_card.replace_card,Can I get a new card
credit_card.replace_card,"Can I get a new card, my one is damaged"
credit_card.replace_card,Can I get my card replaced
credit_card.replace_card,Can you replace my card
credit_card.replace_card,Can you send me a new card
credit_card.replace_card,Can you send me a new credit card
credit_card.replace_card,Card replacement
credit_card.replace_card,"I lost my card, can I get a replacement"
credit_card.replace_card,I need a new card
credit_card.replace_card,I need a new credit card
credit_card.replace_card,I need to be sent a new card
credit_card.replace_card,I need to replace my card
credit_card.replace_card,I need to replace my credit card
credit_card.replace_card,"My credit card is lost, I need a replacement"
credit_card.replace_card,Need to replace card
credit_card.replace_card,Need to replace my credit card
credit_card.replace_card,New card
credit_card.replace_card,New credit card
credit_card.replace_card,Please send a new credit card
credit_card.replace_card,Replace my card
credit_card.replace_card,Replace my lost card
credit_card.replace_card,Send me a new card
credit_card.replace_card,my card is damaged and I need a new one
credit_card.replace_card,replace a damaged card
date extract,May 14th
date extract,the date is March 20th
dates,dates
dates,dates interpretation
dates,take note of a date
directions,directions please
directions,i want to test directions
directions,jump to directions
form filling,I want to fill a form
form filling,Showme the form please
form filling,form now
form filling,form please
form filling,give me a form
function test,I want to test functions
function test,function test please
function test,functions
getDirections,5 steps back
getDirections,I want to move 3 steps forward
getDirections,move 23 steps backward
getDirections,move 5 steps back please
getFromAccount,I need to transfer from account ***234
getFromAccount,I want to transfer from account ***456
getFromAccount,Transfer from account ***123
getFromAccount,account ***123
getFromAccount,transfer from account 12456
loan_application.status,Can I get an update on my application for a loan?
loan_application.status,Do you have an update on my Honda loan application?
loan_application.status,Has loan 123456789 been approved
loan_application.status,Has my loan application been approved
loan_application.status,I applied for a home loan and I need an update on the progress
loan_application.status,I applied for a loan and I haven't had an update
loan_application.status,I applied for a loan and I'm looking for an update
loan_application.status,"I applied for a loan, ref 123456789"
loan_application.status,I need help with my home loan
loan_application.status,I want to know about my loan application
loan_application.status,I'm after the status of my home loan application
loan_application.status,Status of loan application with reference 196340972
loan_application.status,Was my loan application rejected
loan_application.status,What about my auto loan 210932401
loan_application.status,What is my auto loan application status?
loan_application.status,What is my mortgage application status?
loan_application.status,What is the status of my loan application 123456789
loan_application.status,What is the status of my loan application 123456789?
loan_application.status,What is the status of my mortgage
loan_application.status,What's happening with my auto loan application
loan_application.status,hi can i check on home loan 192039101
loan_application.status,hi can i look at my auto loan 459019291?
loan_application.status,how is my loan application progressing?
loan_application.status,update on my loan
loan_application.status,what's the status of my loan application
loan_application.timelines,Can you give me an idea of duration?
loan_application.timelines,Do you have a sense for when it might be done?
loan_application.timelines,Do you know how long this will take
loan_application.timelines,How long do I need to wait
loan_application.timelines,How long does it take on average
loan_application.timelines,How long will it take
loan_application.timelines,Is there a deadline for the decision
loan_application.timelines,When will I hear?
loan_application.timelines,When will you make a decision
loan_application.timelines,Will I hear in the next few days
loan_application.timelines,and when will this be?
loan_application.timelines,can you give me a date when it is done?
loan_application.timelines,give me some idea of timing please
loan_application.timelines,how much longer?
loan_application.timelines,is it going to take much longer?
loan_application.timelines,what date will I hear by
loan_application.timelines,what's the timing for approval?
loan_application.timelines,when can I expect the money?
loan_application.timelines,when can I expect to hear back?
loan_application.timelines,when can I get a decision?
loan_application.timelines,when will it be approved?
loan_application.timelines,when will the loan be approved?
loan_application.timelines,when will this be?
loan_application.timelines,will I be told when?
loan_application.timelines,will it take much longer
moneyPayment,auto pay credit card
moneyPayment,automatic payment forum
moneyPayment,autopay credit card
moneyPayment,best way to pay monthly spousal support
moneyPayment,bill pay.. i need to make credit card payments through online bill pay but I'm not familiar with how to do it
moneyPayment,can i make a credit card payment from my account?
moneyPayment,can i make a payment on her credit card with you or should i try deleting the app and reinstalling it
moneyPayment,can i make a payment on my credit card balance
moneyPayment,can i make an online payment to a wells fargo credit card
moneyPayment,can i pay a chase credit card
moneyPayment,can i pay another credit card from a different back account with this app ?
moneyPayment,can i pay credit card bill
moneyPayment,can i pay credit card bill online?
moneyPayment,can i pay credit card bills thru bill pay
moneyPayment,can i pay for a credit card with wells fargo
moneyPayment,can i pay my credit card
moneyPayment,can i pay my credit card bill
moneyPayment,can i pay my credit card bill with my debit card
moneyPayment,can i pay my debit bill
moneyPayment,can i pay my husbands credit card with the wells fargo app??
moneyPayment,can i pay my wf visa bill online
moneyPayment,can i pay online from my bank to a different bank?
moneyPayment,can i set up my account to autopay my credit card
moneyPayment,can i set up payments to be pulled out of my savings account
moneyPayment,can l pay my credit card bills through this account
moneyPayment,can't pay my credit card. it is not shown in my app
moneyPayment,closed credit card account i need to pay off. where do i make payments
moneyPayment,could you help me out with setting up my account to pay my credit card online?
moneyPayment,credit card electronic payments
moneyPayment,credit card payment
moneyPayment,credit card payment with online banking
moneyPayment,credit card principal payment
moneyPayment,hello  how do i pay a bill through my checking account for secured credit card
moneyPayment,hello how are you greetings ... i would like to know if i can pay the credit card of another bank that is not wells fargo
moneyPayment,hello i have a credit card but is not linked in the app and i need to pay the balance
moneyPayment,hello. i was wondering how to set up pay my bill to a credit card on my wells fargo app
moneyPayment,hey i want to pay off my college credit card debt
moneyPayment,hey i'm trying to make a payment on a secured credit card that i had
moneyPayment,hey. how do i pay off my credit card full amount today
moneyPayment,hi audi how can i find bill pay on the wellsfargo app
moneyPayment,hi can i pay us bank credit card from my wells checking account?
moneyPayment,hi can we make a payment to our credit card from our account using the mobile app?
moneyPayment,hi how pay my credit card bills plz help me
moneyPayment,hi i need to make payment to my credit card from other bank
moneyPayment,hi i would like to make a payment on my credit card
moneyPayment,hi there how can i pay my bills online?
moneyPayment,hi wondering how to make payment towards credit card through my account
moneyPayment,hi. i have an old credit card account with you guys and i would like to settle it.
moneyPayment,hi. i m trying to pay my wells fargo credit card thru my wells fargo checking account but i can t get thru.
moneyPayment,how can i add my wells fargo credit card on my app so i can make payments to it
moneyPayment,how can i do online bill pay
moneyPayment,how can i electronically pay a credit card bill with my account?
moneyPayment,how can i make a payment on a closed credit card?
moneyPayment,how can i make a payment to closed credit card account
moneyPayment,how can i make a payment to my bank of america credit card
moneyPayment,how can i make a payment to my credit card account thru my mobile app
moneyPayment,how can i make international payments?
moneyPayment,how can i pay a bill
moneyPayment,how can i pay a credit card with my wells fargo checking account
moneyPayment,how can i pay bill from my checking account?
moneyPayment,how can i pay credit card from another bank
moneyPayment,how can i pay my bills online
moneyPayment,how can i pay my credit card
moneyPayment,how can i pay my credit card bill
moneyPayment,how can i pay my credit card bill from my bank account ?
moneyPayment,how can i pay my credit card i use to be able to transfer money now it doesn't even show on my accounts.
moneyPayment,how can i pay my credit card online
moneyPayment,how can i pay my credit card using my debit card
moneyPayment,how can i pay my wells fargo credit card with a wells fargo account
moneyPayment,how can i pay my wells fargo credit cars
moneyPayment,how can i pay my wf credit card bill?
moneyPayment,how can i pay off a closed credit card account?
moneyPayment,how can i pay on my credit card through this company
moneyPayment,how can i pay someone's wellsfargo credit card with my wellsfargo checking account?
moneyPayment,how can i schedule to pay a credit card bill with my account
moneyPayment,how can i set up a reoccurring payment for rent
moneyPayment,how could i add a credit card payment on the app
moneyPayment,how do i add a auto bill pay for a credit card
moneyPayment,how do i change my credit card payment amount using the mobile app?
moneyPayment,how do i do a payment directly from my account for a credit card payment
moneyPayment,how do i go about paying my first progress credit card? cannot locate where to pay.
moneyPayment,how do i make a bill payment online
moneyPayment,how do i make a payment on my wf merchant credit card
moneyPayment,how do i pay a bill?
moneyPayment,how do i pay a non wells fargo credit card bill
moneyPayment,how do i pay city back from wells fargo
moneyPayment,how do i pay credit card bill on with my account
moneyPayment,how do i pay my bank of america credit cards through my bank
moneyPayment,how do i pay my bills on here
moneyPayment,how do i pay my credit card bill
moneyPayment,how do i pay my credit card bill from my account
moneyPayment,how do i pay my credit card through my bank
moneyPayment,how do i pay my wells visa credit card
moneyPayment,how do i pay off my credit card
moneyPayment,how do i pay the outstanding credit card balance?
moneyPayment,how do i send an ach payment?
moneyPayment,how do i sent up a monthly payment to credit card
moneyPayment,how do i set up a monthly bill payment
moneyPayment,how do i set up a new reoccurring payment?
moneyPayment,how do i set up an automatic zelle payment to someone on the 1st of every month?
moneyPayment,how do i set up auto pay for my credit cards
moneyPayment,how do i set up auto payment on my credit card account?
moneyPayment,how do i set up bill pay to the financial institution
moneyPayment,how do i set up payments every month?
moneyPayment,how do i set up recurring payments
moneyPayment,how do i set up reoccurring payment for rent purposes?
moneyPayment,how do i setup online bill pay to pay a credit card i have with bank of america using my wells fargo account
moneyPayment,how so i find bill pay
moneyPayment,how to bill pay
moneyPayment,how to make a payment to my credit card?
moneyPayment,how to pay my bills on here
moneyPayment,how to pay my credit card
moneyPayment,how to pay my credit card bill
moneyPayment,how to pay my credit card bill online
moneyPayment,how to pay wf credit card online?  so i ass it as a payee in billpay?
moneyPayment,how to turn on reoccurring payment for my mortgage
moneyPayment,i am trying to pay old credit card debt
moneyPayment,i have a new credit card and i need to make a payment wjat do i need to do?
moneyPayment,i have outstanding credit card debt that i need to pay
moneyPayment,i have to pay a friend
moneyPayment,i have to pay my friend back can you help with that?
moneyPayment,i just got a credit card and i need to setup bill pay
moneyPayment,i just want to know if i make a payment to my gap credit card from my wells fargo checking account
moneyPayment,i made the payment online with my debit card
moneyPayment,i need to know how to make a recurring payment
moneyPayment,i need to make a credit card payment through my account how do i do that online
moneyPayment,i need to make a payment on my credit card
moneyPayment,i need to make a payment on my credit card through my mobile app
moneyPayment,i need to now how to pay my credit card bell
moneyPayment,i need to pay a bill for another bank credit card
moneyPayment,i need to pay credit card
moneyPayment,i need to pay my credit card bill
moneyPayment,i need to pay off my credit card
moneyPayment,i need to send money to a credit card
moneyPayment,i need to set up online bill pay through my bank account for my credit card
moneyPayment,i need to set up payments to my credit card how do i do this?
moneyPayment,i want to add credit card to my online banking account so that i can make payments
moneyPayment,i want to know how can i pay my bills with the wells fargo app
moneyPayment,i want to make a credit card payment
moneyPayment,i want to make payment to my credit card. but wells fargo do not allowed
moneyPayment,i want to pay a friend using your service
moneyPayment,i want to pay back my temporary credit to my account
moneyPayment,i want to pay bills with my savings account.
moneyPayment,i want to pay my credit card
moneyPayment,i want to pay my credit card of navy federal from my account of wells fargo
moneyPayment,i want to pay my friend back
moneyPayment,i want to pay my overdraft
moneyPayment,i want to pay off my credit card
moneyPayment,i want to pay online my credit card i dont know how
moneyPayment,i want to set my credit card on my account to automatically pay the credit card bill
moneyPayment,i want to set up a recurring payment to my credit union.
moneyPayment,i want to set up re occurring payments.
moneyPayment,i want to set up with e-bill til make annual car payments
moneyPayment,i want to settle my credit account.
moneyPayment,i wanted to pay off my credit card
moneyPayment,i wanted to start paying off my closed credit card account. how do i go about that
moneyPayment,i was trying to pay on my credit card online
moneyPayment,i would like to be able to pay my credit card directly from my bank account rather than mailing it ..
moneyPayment,i would like to know how to pay credit card bill online through my bank account
moneyPayment,i would like to make a payment of 9999.40 usd with my debit card
moneyPayment,i would like to make a payment on my wife s wells fargo credit card on line
moneyPayment,i would like to make a payment to my credit card with another institution can i?
moneyPayment,i would like to pay my credit card balance
moneyPayment,i would like to pay my husbands credit card
moneyPayment,i would like to pay off my credit card
moneyPayment,i would like to pay off my credit card bill
moneyPayment,i would like to pay off my credit card bill from my savings
moneyPayment,i would like to pay off ny credit card balance
moneyPayment,i would like to set up auto pay for my credit card
moneyPayment,i would like to set up payment on my credit card. how do i do this function
moneyPayment,i'd like to pay credit card from another bank
moneyPayment,i'd like to pay my credit card bill
moneyPayment,i'm looking to pay credit card debt
moneyPayment,i'm needing to pay a credit card from my bank account
moneyPayment,i'm trying to get to my credit card through the app to make a payment and i can not find it
moneyPayment,i'm trying to pay a credit card
moneyPayment,i'm trying to pay for online therapy with my card
moneyPayment,i'm trying to pay my credit card with bill pay
moneyPayment,i'm trying to pay my first progress credit card bill with my debit card i can't figure it out
moneyPayment,i'm trying to pay my southwest credit card
moneyPayment,i'm trying to pay on my credit card
moneyPayment,i've made a payment towards my amex credit card from my checking account
moneyPayment,im teying to pay my husbands credit card with my wells fargo account is that possible
moneyPayment,im trying to pay a credit card
moneyPayment,im trying to pay my credit card
moneyPayment,im trying to pay my credit card bill
moneyPayment,im trying to pay on a credit card and it tells me to use bill pay from my bank but i dont see anything
moneyPayment,is billpay available on my account.  i'm trying to pay my credit card bill.
moneyPayment,is there a certain way i need to pay my discover credit card
moneyPayment,is there a way i can pay my wells fargo credit card payment through the app?
moneyPayment,is there a way to setup recurring bill payments using only the phone app?
moneyPayment,make a 100 dollars payment
moneyPayment,make a payment to a credit card account
moneyPayment,make credit card payment
moneyPayment,making a payment to credit card
moneyPayment,need to make a payment
moneyPayment,need to pay my credit card balance
moneyPayment,need to set up automatic payments for new credit card
moneyPayment,no i don't want a credit card i want to pay my credit card with my bank account
moneyPayment,no i want to pay my credit card bill online but i wanted to know how the payment will be remitted
moneyPayment,okay i have too pay a credit card bill witch one would that be
moneyPayment,online bill pay
moneyPayment,online bill pay where is it located
moneyPayment,online bill payment
moneyPayment,pay a bill
moneyPayment,pay a paypal invoice
moneyPayment,pay bob 1 cents
moneyPayment,pay credit card
moneyPayment,pay credit card balance
moneyPayment,pay credit card bill
moneyPayment,pay credit card bill from another bank
moneyPayment,pay credit card from online savings accoint
moneyPayment,pay my credit card
moneyPayment,pay my mortgage
moneyPayment,pay off balance on default credit card
moneyPayment,pay off credit card
moneyPayment,pay off old wf credit card
moneyPayment,pay on my wells fargo credit card
moneyPayment,pay someone's else's wellsfargo credit card with my wellsfargo checking account
moneyPayment,pay visa bill
moneyPayment,pay wells fargo credit card bill
moneyPayment,payed my credit card payment
moneyPayment,paying a closed college credit card
moneyPayment,payment to credit card
moneyPayment,payments towards credit card
moneyPayment,re occurring payments set up
moneyPayment,set up a big payment
moneyPayment,set up automatic payment
moneyPayment,set up monthly bill pay
moneyPayment,set up payment to bank of america credit card
moneyPayment,setting up a recurring ach payment every month.
moneyPayment,trying to make a payment
moneyPayment,trying to pay off credit card
moneyPayment,want to make a payment
moneyPayment,want to pay bills
moneyPayment,wants to pay my credit card please
moneyPayment,wells fargo credit card payment
moneyPayment,where can i find the page bill pay
moneyPayment,where can i pay my credit card on here ?
moneyPayment,where in the app is bill pay?
moneyPayment,where on line if possible can i pay my wells fargo credit card with my new wells fargo checking acct
moneyPayment,would like to pay my remaining balance
moneyPayment,yes i want to make a credit card payment
moneyPayment,yes i would like to know how i can pay my credit card with my account
moneyPayment,yes...i can't find that option and i would like to set up online bill pay for one of my credit cards
numbers,1224425443656 
numbers,13344 
numbers,1938586 
numbers,mi number is 299449294
period,period of time
period,range of time
period,time range
period,transactions since may 15th
period detection,13 days ago
period detection,Amazon purchases for the past 3 months
period detection,all transactions in the last week
period detection,from July 3 to August 15
period detection,from march 23th to jan 12th
period detection,show transactions from Wednesday
period detection,transactions since may 15th
showAccounts,I want to see my accounts
showAccounts,accounts please
showAccounts,show me my accounts
small_talk.agent_redirect, can i talk to someone
